Vector,PAA Frames,APCA Frames,PAA Eu,APCA Eu,Eu Diff,PAA Dtw,APCA Dtw,Dtw Dif,PAA tik,APCA Tik,Tik Dif
146,42,21,6.57249,17.629,-11.0565,532.739,374.959,157.78,344,23143,-22799
147,42,21,6.05899,16.3328,-10.2739,456.257,347.943,108.313,324,22342,-22018
148,42,21,5.66878,14.1478,-8.47903,485.655,306.637,179.018,324,23289,-22965
149,42,21,7.41248,17.7817,-10.3692,557.119,366.901,190.218,324,22953,-22629
150,42,21,6.22551,13.5184,-7.29286,475.413,298.202,177.211,343,23453,-23110
151,42,21,6.17809,14.5449,-8.36679,530.279,303.604,226.675,323,22526,-22203
152,42,21,5.41024,13.3475,-7.93726,451.038,285.18,165.858,445,22609,-22164
153,42,21,6.63906,12.7471,-6.10801,426.664,245.239,181.425,324,24366,-24042
154,42,21,5.3637,14.8422,-9.4785,442.046,293.255,148.791,332,23371,-23039
155,42,21,6.12594,7.41834,-1.2924,378.679,180.224,198.455,349,22627,-22278
156,42,21,6.68947,23.6871,-16.9976,539.139,438.337,100.802,324,22784,-22460
157,42,21,6.6028,18.3823,-11.7795,561.897,382.363,179.534,348,22429,-22081
158,42,21,6.43519,16.2594,-9.82417,538.562,352.365,186.198,353,23150,-22797
159,42,21,6.29297,9.30989,-3.01692,366.827,184.531,182.295,323,23307,-22984
160,42,21,4.65656,13.938,-9.2814,410.585,295.018,115.567,409,23169,-22760
161,42,21,5.27361,13.7442,-8.47054,394.683,266.622,128.061,348,22396,-22048
162,42,21,6.58014,21.9777,-15.3976,513.537,401.149,112.388,324,22597,-22273
163,42,21,6.06432,16.5001,-10.4358,513.395,341.492,171.902,323,22022,-21699
164,42,21,5.35071,7.86885,-2.51814,376.628,182.59,194.038,323,23436,-23113
165,42,21,9.70442,17.8352,-8.13077,555.063,373.243,181.82,325,22934,-22609
166,42,21,5.55085,17.7653,-12.2145,379.237,291.003,88.2337,324,22435,-22111
167,42,21,5.88753,10.1111,-4.22358,361.035,190.776,170.258,331,22859,-22528
168,42,21,6.56767,17.2103,-10.6426,531.775,343.381,188.393,324,22894,-22570
169,42,21,5.20308,20.2401,-15.037,449.68,387.072,62.6078,324,22854,-22530
170,42,21,7.44865,25.0732,-17.6245,491.627,453.967,37.66,325,22962,-22637
171,42,21,6.57182,17.8203,-11.2485,543.506,392.057,151.45,335,22594,-22259
172,42,21,5.59177,20.9704,-15.3787,446.765,379.683,67.0823,324,23671,-23347
173,42,21,8.89966,21.5382,-12.6386,469.574,404.201,65.3733,344,35806,-35462
174,42,21,5.98133,14.1814,-8.20006,515.768,304.518,211.251,324,22995,-22671
175,42,21,5.05577,14.036,-8.98024,400.515,271.301,129.214,335,24253,-23918
176,42,21,5.56941,20.7715,-15.2021,508.324,393.25,115.074,352,23290,-22938
177,42,21,6.12315,16.749,-10.6259,516.24,336.64,179.601,344,23183,-22839
178,42,21,6.29055,17.333,-11.0424,393.162,305.519,87.6432,326,23039,-22713
179,42,21,6.35324,21.9122,-15.5589,547.658,465.105,82.553,347,22994,-22647
180,42,21,6.49313,17.6219,-11.1288,455.099,316.795,138.303,341,23171,-22830
181,42,21,6.49249,16.1246,-9.63213,523.963,359.4,164.563,331,22880,-22549
182,42,21,4.08784,10.7287,-6.64086,312.627,199.368,113.259,337,23291,-22954
183,42,21,5.93439,8.72711,-2.79272,396.086,198.391,197.695,338,23779,-23441
184,42,21,5.86495,12.4267,-6.56175,355.18,239.567,115.613,365,24284,-23919
185,42,21,6.12342,19.4874,-13.3639,554.894,409.194,145.7,332,24944,-24612
186,42,21,6.75486,18.3594,-11.6045,474.769,368.016,106.754,325,23788,-23463
187,42,21,5.72973,13.0422,-7.3125,421.268,258.569,162.699,332,23530,-23198
188,42,21,6.04327,20.6921,-14.6488,496.974,429.835,67.1391,785,23044,-22259
189,42,21,4.71446,15.415,-10.7005,312.503,287.409,25.0933,323,23149,-22826
190,42,21,5.14422,8.63454,-3.49032,319.293,168.699,150.594,331,23876,-23545
191,42,21,6.97052,17.2399,-10.2694,589.1,356.086,233.014,331,24623,-24292
192,42,21,6.19252,16.4098,-10.2173,500.496,338.228,162.268,352,22663,-22311
193,42,21,6.22936,17.1313,-10.902,560.48,361.63,198.85,324,23310,-22986
194,42,21,6.25702,11.5332,-5.2762,382.431,219.442,162.988,332,23563,-23231
195,42,21,6.06825,19.0343,-12.9661,535.408,397.773,137.636,323,23093,-22770
196,42,21,6.06999,13.6418,-7.57184,424.361,246.695,177.666,325,23146,-22821
197,42,21,4.55321,13.5563,-9.00313,401.557,261.011,140.546,364,24461,-24097
198,42,21,6.31523,12.8423,-6.52704,396.552,262.171,134.381,322,22760,-22438
199,42,21,4.88332,11.6124,-6.72913,322.688,204.282,118.407,332,23470,-23138
200,42,21,7.35735,12.5486,-5.19122,463.476,256.135,207.341,334,22976,-22642
201,42,21,8.48006,16.0604,-7.58034,487.375,309.596,177.779,349,22866,-22517
202,42,21,6.95769,13.6876,-6.72987,393.989,298.861,95.1276,364,24042,-23678
203,42,21,5.1236,22.9838,-17.8602,413.171,452.96,-39.7888,441,23643,-23202
204,42,21,5.12068,12.2623,-7.14161,325.954,221.604,104.351,344,25103,-24759
205,42,21,4.60865,8.2574,-3.64875,371.183,197.014,174.169,322,22665,-22343
206,42,21,5.11008,10.3522,-5.24215,425.202,247.905,177.297,323,23521,-23198
207,42,21,7.32146,18.1491,-10.8277,504.566,380.024,124.542,322,22664,-22342
208,42,21,7.1532,22.5654,-15.4122,500.21,413.015,87.195,323,23115,-22792
209,42,21,7.64656,20.5442,-12.8976,582.491,429.536,152.954,323,23206,-22883
210,42,21,5.15174,16.0179,-10.8662,411.879,286.68,125.199,322,22413,-22091
211,42,21,4.74075,8.0398,-3.29906,291.32,159.553,131.767,325,23532,-23207
212,42,21,6.00617,21.9728,-15.9666,405.315,378.174,27.1411,365,23684,-23319
213,42,21,7.07844,15.7239,-8.64543,546.207,332.773,213.434,331,23022,-22691
