vector,PAA Frames,APCA Frames,PAA Eu,APCAA Eu,Dif Eu,PAA Dtw,APCA Dtw,Dif Dtw,PAA tik,APCA tik,Dif tik
273,80,40,199.202,319.395,-120.194,6584.24,10968.5,-4384.21,599,62122,-61523
274,80,40,149.371,312.039,-162.668,4260.51,9722.17,-5461.66,602,63410,-62808
275,80,40,138.219,288.127,-149.908,4046.38,8572.92,-4526.54,614,62624,-62010
276,80,40,166.291,309.831,-143.54,4742.86,10606.7,-5863.83,976,63895,-62919
277,80,40,152.215,280.762,-128.547,4242.81,9427.05,-5184.24,618,63849,-63231
278,80,40,176.41,286.126,-109.717,5136.22,9881.56,-4745.33,733,61203,-60470
279,80,40,208.59,294.929,-86.3391,5511.82,9300.15,-3788.33,619,62669,-62050
280,80,40,196.32,373.033,-176.713,6229.45,11431.4,-5202,597,64184,-63587
281,80,40,163.685,321.218,-157.533,5008.42,10885.4,-5876.97,656,64058,-63402
282,80,40,179.547,364.168,-184.622,5608.83,13029.1,-7420.24,612,63393,-62781
283,80,40,184.752,357.992,-173.24,5902.69,12546.9,-6644.23,638,62962,-62324
284,80,40,198.125,431.813,-233.688,6035.8,13840.5,-7804.66,620,65943,-65323
285,80,40,193.028,360.332,-167.304,5818.18,11530.3,-5712.09,610,64311,-63701
286,80,40,145.45,248.057,-102.606,4256.82,8382.37,-4125.55,619,62481,-61862
287,80,40,144.73,264.465,-119.735,4216.94,8703.14,-4486.21,625,64772,-64147
288,80,40,192.066,362.472,-170.405,5897.39,11903.4,-6005.97,595,62349,-61754
289,80,40,179.648,388.233,-208.585,5635.68,13091,-7455.33,609,62408,-61799
290,80,40,252.768,417.011,-164.243,7093.9,14373.8,-7279.93,647,64689,-64042
291,80,40,188.384,344.436,-156.052,5558.9,12373.2,-6814.33,619,61885,-61266
292,80,40,144.664,272.013,-127.348,4302.08,8852.98,-4550.9,597,65253,-64656
293,80,40,145.109,314.505,-169.397,4576.29,10752.6,-6176.3,635,62789,-62154
294,80,40,176.229,363.869,-187.64,5330.03,12018.2,-6688.15,597,63790,-63193
295,80,40,146.64,336.668,-190.028,4397.83,11307.4,-6909.56,600,61594,-60994
296,80,40,117.26,211.534,-94.2734,3025.64,7123.77,-4098.13,622,61686,-61064
297,80,40,132.321,271.404,-139.083,3817.2,8574.84,-4757.64,619,63727,-63108
298,80,40,173.364,414.101,-240.737,5445.76,14140.9,-8695.14,605,61494,-60889
299,80,40,168.114,372.71,-204.596,5192.06,12601.1,-7409.07,642,62207,-61565
300,80,40,142.564,312.638,-170.073,4240.54,11006.2,-6765.64,620,61855,-61235
301,80,40,141.731,304.616,-162.885,4221.27,10420.2,-6198.97,619,63526,-62907
302,80,40,160.118,314.641,-154.523,4928,10981.6,-6053.63,596,63972,-63376
303,80,40,161.611,308.37,-146.759,4892.87,10885.8,-5992.9,638,63534,-62896
304,80,40,171.021,375.541,-204.52,4949.73,12739.2,-7789.43,601,62027,-61426
305,80,40,177.854,332.067,-154.214,5070.21,10979.1,-5908.86,598,63074,-62476
306,80,40,171.608,318.016,-146.408,5219.13,11368.2,-6149.09,633,62739,-62106
307,80,40,174.306,321.737,-147.43,5381.65,11071.6,-5689.92,616,63777,-63161
308,80,40,195.127,373.065,-177.938,5794.88,11516.6,-5721.74,600,62546,-61946
309,80,40,150.324,322.139,-171.814,4495.97,10477.4,-5981.4,599,64605,-64006
310,80,40,151.868,305.659,-153.791,4573.5,10908.7,-6335.25,598,65169,-64571
311,80,40,162.893,342.311,-179.418,4932.13,11606.9,-6674.77,599,61875,-61276
