Vector,PAA Frames,APCA Frames,PAA Eu,APCA Eu,Eu Diff,PAA Dtw,APCA Dtw,Dtw Dif,PAA tik,APCA Tik,Tik Dif
168,20,10,21.9056,22.9926,-1.08698,387.711,411.353,-23.6425,175,10148,-9973
169,20,10,22.1615,22.3482,-0.18672,408.475,410.942,-2.46688,175,9678,-9503
170,20,10,22.1528,22.3991,-0.24628,403.372,405.11,-1.73769,175,10332,-10157
171,20,10,22.0885,22.322,-0.233494,383.67,396.126,-12.4552,174,9975,-9801
172,20,10,22.082,22.3323,-0.250295,389.5,402.063,-12.5638,198,10187,-9989
173,20,10,22.0946,22.3893,-0.294693,383.843,387.153,-3.3102,221,10193,-9972
174,20,10,21.904,22.3943,-0.490337,374.091,393.116,-19.0246,203,10371,-10168
175,20,10,21.7766,22.343,-0.566381,365.549,383.803,-18.2543,665,10088,-9423
176,20,10,21.8845,22.492,-0.607469,372.521,389.165,-16.6438,262,14391,-14129
177,20,10,22.0636,22.3451,-0.281472,377.529,387.991,-10.462,205,10027,-9822
178,20,10,22.2327,22.2929,-0.0601841,405.378,403.7,1.6782,340,15140,-14800
179,20,10,22.255,22.2087,0.0463059,377.602,364.455,13.1474,193,9640,-9447
180,20,10,22.1736,22.3988,-0.225186,398.708,402.554,-3.84647,175,12743,-12568
181,20,10,22.1823,22.1887,-0.00648499,398.161,392.883,5.27874,176,10522,-10346
182,20,10,21.9578,22.3189,-0.361153,394.685,403.669,-8.9848,175,9927,-9752
183,20,10,22.1028,22.35,-0.247146,387.912,383.933,3.97904,200,10182,-9982
184,20,10,22.0782,22.2851,-0.206931,365.236,370.9,-5.66398,180,9875,-9695
185,20,10,22.113,22.2004,-0.0874458,374.317,376.218,-1.90132,179,10256,-10077
186,20,10,22.0337,22.4173,-0.383622,386.054,402.315,-16.2605,175,9625,-9450
187,20,10,21.8279,22.8299,-1.00205,406.472,417.252,-10.7801,179,10304,-10125
188,20,10,22.1475,22.3876,-0.240166,401.052,411.834,-10.782,184,12303,-12119
189,20,10,22.3082,22.126,0.182203,377.378,363.653,13.7249,226,9951,-9725
190,20,10,21.922,22.426,-0.504018,379.996,394.413,-14.4177,185,10806,-10621
191,20,10,22.0066,22.2696,-0.262926,394.111,411.92,-17.8092,198,11137,-10939
192,20,10,22.1607,22.5317,-0.371006,383.523,389.608,-6.08482,176,9524,-9348
193,20,10,22.0229,22.5339,-0.510984,377.905,388.852,-10.9468,188,9665,-9477
194,20,10,22.1054,22.5001,-0.394709,382.65,390.793,-8.14341,176,9965,-9789
195,20,10,21.5908,22.3549,-0.764006,378.187,397.314,-19.1265,201,10276,-10075
196,20,10,22.016,22.4256,-0.409616,382.508,392.65,-10.142,209,10806,-10597
197,20,10,22.1516,22.3173,-0.165685,398.976,410.006,-11.0297,195,10614,-10419
198,20,10,21.7898,22.1964,-0.406523,375.965,391.748,-15.7832,180,10070,-9890
199,20,10,21.9888,22.3657,-0.376873,358.235,371.784,-13.5491,185,9547,-9362
200,20,10,22.0023,22.3938,-0.391533,383.476,399.001,-15.525,181,11269,-11088
201,20,10,22.089,22.4911,-0.402113,397.35,406.088,-8.73815,174,9940,-9766
202,20,10,22.0143,22.3173,-0.302959,368.874,378.927,-10.0535,175,9443,-9268
203,20,10,22.0532,22.2712,-0.218002,396.081,398.229,-2.14836,176,9713,-9537
204,20,10,22.0525,22.3446,-0.292163,367.416,372.177,-4.76149,181,10031,-9850
205,20,10,22.2009,22.3043,-0.103373,407.054,412.009,-4.95493,180,10045,-9865
206,20,10,22.0658,22.3229,-0.257088,388.375,395.092,-6.71627,186,10551,-10365
207,20,10,22.1415,22.4028,-0.261272,365.928,375.355,-9.42661,177,9315,-9138
208,20,10,22.2523,22.2613,-0.00900179,409.4,410.97,-1.57,337,9356,-9019
209,20,10,22.1429,22.3162,-0.173298,390.494,394.367,-3.873,184,9317,-9133
210,20,10,21.9349,22.3058,-0.370906,380.164,394.926,-14.7622,175,10338,-10163
211,20,10,22.2676,22.1728,0.0947757,392.098,388.611,3.48742,175,10438,-10263
212,20,10,21.8314,22.3958,-0.564448,371.165,383.085,-11.9202,176,9229,-9053
213,20,10,22.0915,22.326,-0.234514,365.318,373.314,-7.99593,176,9788,-9612
214,20,10,22.0266,22.3316,-0.305013,399.403,406.617,-7.2143,208,9558,-9350
215,20,10,22.1926,22.3305,-0.137883,398.14,403.576,-5.43619,184,9561,-9377
216,20,10,22.2768,22.3213,-0.0444312,387.228,382.992,4.23606,180,9416,-9236
217,20,10,22.1529,22.7494,-0.596484,400.725,410.695,-9.97071,181,10638,-10457
218,20,10,22.1835,22.373,-0.189459,428.274,429.509,-1.23579,175,9404,-9229
219,20,10,22.1649,22.4705,-0.305594,366.116,370.259,-4.14317,186,9712,-9526
220,20,10,21.8232,22.4261,-0.60292,402.365,417.192,-14.8265,174,11308,-11134
221,20,10,22.303,22.1291,0.173872,352.257,348.011,4.24599,176,9617,-9441
222,20,10,22.0767,22.3602,-0.283519,392.454,405.081,-12.6272,176,9895,-9719
223,20,10,22.2446,22.2743,-0.0297451,379.675,372.158,7.51657,191,10135,-9944
224,20,10,21.9936,22.36,-0.366341,369.445,375.536,-6.0902,180,9737,-9557
225,20,10,22.1772,22.2837,-0.106467,372.035,370.383,1.65194,285,10150,-9865
226,20,10,22.1797,22.4418,-0.262066,390.041,389.969,0.0720248,176,9273,-9097
227,20,10,22.149,22.311,-0.161965,378.318,384.078,-5.75969,176,10261,-10085
228,20,10,22.2772,22.354,-0.0767582,412.637,405.715,6.92206,175,9412,-9237
229,20,10,22.0915,22.4356,-0.344081,376.006,389.122,-13.1169,181,10020,-9839
230,20,10,22.2428,22.2473,-0.00450235,384.396,382.924,1.47177,202,9470,-9268
231,20,10,22.0874,22.4019,-0.314583,394.775,403.749,-8.97406,266,9677,-9411
232,20,10,21.9305,22.6255,-0.695024,374.738,378.263,-3.52457,189,10815,-10626
233,20,10,22.2244,22.3801,-0.155753,390.562,396.733,-6.17037,181,11906,-11725
234,20,10,22.0341,22.2016,-0.167489,414.828,419.974,-5.14621,181,10445,-10264
235,20,10,21.8623,22.38,-0.517753,385.367,399.232,-13.8645,189,13809,-13620
236,20,10,22.1964,22.3197,-0.123263,409.54,418.113,-8.57348,179,12410,-12231
237,20,10,22.1783,22.3401,-0.161736,404.401,409.857,-5.45609,446,9641,-9195
238,20,10,22.276,22.2045,0.0714915,415.25,414.223,1.0266,179,10431,-10252
239,20,10,22.1653,22.4233,-0.257969,399.883,409.409,-9.52527,314,9382,-9068
240,20,10,22.1855,22.3327,-0.147127,395.839,402.617,-6.77836,180,11699,-11519
241,20,10,22.148,22.6178,-0.469777,394.206,399.766,-5.56014,186,10107,-9921
242,20,10,22.0311,22.3919,-0.360884,380.211,387.635,-7.42398,183,10448,-10265
243,20,10,22.2441,22.0789,0.165145,412.538,407.262,5.27555,672,9783,-9111
244,20,10,22.2247,22.4064,-0.181687,391.581,384.836,6.74509,246,9694,-9448
245,20,10,22.1837,22.3879,-0.204194,383.388,369.803,13.5842,236,9754,-9518
246,20,10,21.9176,22.356,-0.438444,393.092,409.287,-16.1949,179,10216,-10037
247,20,10,22.2397,22.3331,-0.0933875,396.605,403.385,-6.77949,536,9546,-9010
248,20,10,22.1536,22.2879,-0.1343,383.718,382.741,0.977286,199,10560,-10361
249,20,10,22.231,22.3081,-0.0771255,406.713,408.318,-1.60581,191,10141,-9950
250,20,10,21.9162,22.3489,-0.4327,392.136,404.122,-11.9856,180,11664,-11484
251,20,10,21.8868,22.3149,-0.428046,396.478,409.533,-13.0556,186,11278,-11092
252,20,10,22.1955,22.3596,-0.164047,407.148,410.308,-3.1602,175,10383,-10208
253,20,10,21.9191,22.2641,-0.344969,360.952,376.294,-15.343,190,11568,-11378
254,20,10,22.1117,22.3472,-0.235514,385.811,395.757,-9.94642,176,9364,-9188
255,20,10,22.0701,22.3467,-0.276551,412.255,420.909,-8.6544,179,10382,-10203
256,20,10,22.0346,22.45,-0.415365,392.376,402.91,-10.534,179,9993,-9814
257,20,10,22.1466,22.3324,-0.185763,380.446,385.716,-5.27049,185,9777,-9592
258,20,10,22.134,22.3637,-0.229677,399.471,412.861,-13.3894,211,9967,-9756
259,20,10,22.0081,22.3118,-0.303622,379.002,385.934,-6.93129,185,10690,-10505
260,20,10,22.0911,22.4028,-0.311733,392.787,400.13,-7.34285,234,10018,-9784
261,20,10,22.0431,22.2455,-0.202407,392.341,402.144,-9.80305,179,10162,-9983
262,20,10,22.2017,22.2892,-0.0874129,397.395,400.75,-3.35482,180,9999,-9819
263,20,10,22.2292,22.1408,0.0883799,398.491,396.115,2.37655,199,10125,-9926
264,20,10,22.154,22.3028,-0.148788,405.604,412.294,-6.68933,197,9652,-9455
265,20,10,22.2094,22.3342,-0.124795,411.084,417.184,-6.10001,180,13834,-13654
266,20,10,22.1845,22.3501,-0.16567,401.809,407.661,-5.85269,195,10137,-9942
267,20,10,22.116,22.3427,-0.226734,373.274,382.368,-9.09406,201,14814,-14613
268,20,10,22.2115,22.153,0.0585233,364.408,363.018,1.3894,175,9777,-9602
269,20,10,22.3031,22.2103,0.0927819,428.773,425.28,3.49259,180,10462,-10282
270,20,10,22.0619,22.5695,-0.507587,367.032,369.785,-2.75364,177,9313,-9136
271,20,10,21.8232,22.3738,-0.550623,378.748,394.079,-15.3316,176,11427,-11251
